0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0.020428330534097976,36,37
0.028027154506761656,41,42
0.03365835209267104,7,8
0.03605006298335642,31,32
0.037929788544022604,4,5
0.03913024847094759,37,38
0.04024124518526004,47,48
0.042210082740460675,20,21
0.04465777432769106,11,12
0.047642263923176706,32,33
0.04866481595715117,25,26
0.05195419883988408,27,28
0.053288061213436086,14,15
0.05387387107649605,43,44
0.05610201528746587,16,17
0.056352974108591844,36,38
0.056352974108591844,36,37,38
0.05796978606523741,0,49
0.05800015614359816,45,46
0.059284790811408195,2,49
0.05968488944626304,31,33
0.05968501716936077,31,32,33
0.06225460321579489,29,30
0.06388830406026501,19,20
0.06391972042884611,1,2
0.06431436197444307,10,11
0.06933353287616381,0,48
0.07034863881788551,22,23
0.07062024538268631,34,35
0.07158180016020331,21,22
0.07278651259625699,18,19
0.07354358924500887,40,41
0.07384362690021075,39,40
0.0756054277293439,6,7
0.07618930496726281,17,18
0.07622924431542365,44,45
0.08039787530483017,30,31
0.08040229694737562,42,43
0.08058157690722328,26,27
0.0806924221508178,1,49
0.08071319470389533,13,14
0.08154285746156513,1,2,49
0.08180595820211133,9,10
0.0845182666947813,38,39
0.08508512140390138,3,4
0.0885973964423698,6,8
0.0885973964423698,6,7,8
0.09127458325232132,12,13
0.09142688351859644,1,3
0.09376712203088172,5,6
0.09439723575174669,3,5
0.09439723575174669,3,4,5
0.09449293881218052,23,24
0.0945293319589435,15,16
0.09590881485669925,30,32
0.09590881485669925,30,31,32
0.09849539140106855,40,42
0.09849539140106855,40,41,42
0.09930000274383279,35,36
0.10100392608923223,41,43
0.10100392608923223,41,42,43
0.10182024831100021,9,11
0.10191822588688942,9,10,11
0.10356497687430234,10,12
0.10356497687430234,10,11,12
0.10420787638731568,19,21
0.10420787638731568,19,20,21
0.10600461732310024,0,47
0.10600461732310024,0,47,48
0.10814708318788782,20,22
0.10814708318788782,20,21,22
0.10877391064808806,24,25
0.11087612773971167,13,15
0.11087612773971167,13,14,15
0.11304680038677022,0,1
0.11304680038677022,0,1,49
0.11326826157281637,2,3
0.11326826157281637,1,2,3
0.11389320199694573,46,47
0.11396911729010746,33,34
0.11542499064407598,0,2
0.11542499064407598,0,2,49
0.11617597851782227,37,39
0.11617597851782227,37,38,39
0.11891608393893859,35,37
0.11891608393893859,35,36,37
0.11892438679395399,16,18
0.11892438679395399,16,17,18
0.11908072239886287,0,1,2
0.11946469780464108,4,6
0.11946469780464108,4,5,6
0.12069753942415554,8,9
0.1207451518192474,26,28
0.1207451518192474,26,27,28
0.12196027730771067,48,49
0.12196027730771067,0,48,49
0.12431538897024312,25,27
0.12431538897024312,25,26,27
0.1274977791786439,43,45
0.1274977791786439,43,44,45
0.13046710920275992,44,46
0.13046710920275992,44,45,46
0.13172567652303346,24,26
0.13172567652303346,24,25,26
0.1342716456613392,42,44
0.1342716456613392,42,43,44
